SampledValues1,SampledValues2,SampledValues3,SampledValues4,SampledValues5,SampledValues6
91.52436082172686,116.83718726504594,66.51208856797794,103.23164525231441,107.95690553869099,97.29063249209196
96.21159818580739,89.52677553985268,265.27340822825363,113.49637389844044,97.42164445296605,92.48472315697968
110.32900103654302,73.031843341887,38.25250681907668,78.33675235376082,110.39977069405343,103.58269095574246
86.94457109649584,121.13736683968455,28.7465969672154,80.4176976034003,77.47022783371047,130.3679870767408
124.34378639912917,74.91824122145772,62.13599233528977,88.56388452497933,87.7017229789425,113.84116221892181
108.08935664756898,126.69561513699591,85.88188545373302,84.92932648967103,87.89816675156045,104.52919750792555
103.49177893845507,106.69195922091603,155.4041895802604,89.6111030940391,105.09912603935125,84.39037114095889
114.59797016613881,88.73440009076148,79.97763862470475,98.40962082124119,91.18110252503581,109.59043543554037
76.50272666406062,115.92305580154061,88.65633552147656,101.8728860666064,84.63774686075351,84.99002993523818
83.18696579395814,112.37319040577859,39.36072078785353,92.06506812927836,104.45716128671661,103.41033830284744
83.4477370005146,93.58677472453564,103.49416657994243,124.3024243080196,77.23300114409972,94.37662900994002
110.00234886118852,98.44180843327194,110.58626559153946,98.04976940577802,114.76570129565019,111.51674435114411
82.71151137567827,90.01741450279951,69.90369574293743,107.7418233850446,75.83737085892268,111.96005668854374
96.49254208224158,74.15623720735312,29.696816055658882,94.67916302891248,99.58530424777481,111.64639261495408
89.09103313265379,84.0147567493841,300.7048890751296,122.91650139791673,110.6046760203288,115.94729195813304
66.902194640158,114.61057510226965,74.52103253044378,99.76246730226327,111.0378954831783,115.78312510464677
111.90077892613873,126.68196096085012,389.5229773460598,102.37929701332992,100.30890624919904,107.96623498380058
96.4455980196725,81.66277894750237,64.56629192376363,117.24328835381534,117.85644118735668,113.53271417044758
83.75129753583519,129.23116724938154,77.23473647387151,98.62374236307348,90.43815449469605,71.17939744019947
75.31373441022065,103.69736780878156,85.71577307797989,97.12196115470365,97.61335047122434,115.98525138923446
103.47303506038531,103.89095148071647,96.38284213202692,92.48044677757329,101.89966236187783,92.27235953296422
87.20404062992293,124.24360759090632,76.49550355274238,79.68035491883437,135.1740432510041,104.51386369117321
104.67694995523239,94.34048942755908,21.147717385282743,90.8278113652863,81.64160163540882,105.43511442284016
93.30356352418897,105.15688892453909,3.598604433794982,103.56422458412081,80.83256771369184,109.60282587146554
118.7329085547738,73.4246521256864,52.525292683952586,92.16591255381834,96.29410756747065,93.06464320961872
