SampledValues1,SampledValues2
37.86333663164947,48.54857610673733
31.238335375726113,52.85888161059938
32.53815742960524,45.03853496951288
34.49362331962547,50.47052888913185
34.41146454418845,34.15670349647831
35.61278966945316,87.4888647881829
30.82034468500894,57.56766756625632
31.897702402679883,45.954530042668424
31.65135847510039,46.98584327009911
44.925868820099495,45.80864045697411
46.2709723743357,43.15034533816593
40.71966444420299,57.86330205913049
39.30560820972153,39.3984290264775
30.799145414680275,43.06708997422206
44.04264919398599,114.47750596185264
31.92624689753677,116.38945508625399
30.136611487880888,45.95329037418847
42.506967854704435,51.84490097922206
38.265529709564234,62.098150519793904
43.080998117575625,74.34169296325868
31.36179615192703,65.81806719196913
30.283238444616867,57.10538841239314
40.444434726161376,70.43954946909504
30.677736617162388,59.13860013110988
32.91681691680206,61.51023311980372
32.45893462982138,70.24973913400382
37.71675081707619,47.90908625039456
36.01646829153736,40.16671535340895
30.561365130270982,44.33198180242286
35.81991575632567,55.848398443655185
34.010431228303155,64.17777642136232
37.07333262886677,66.77062926747428
38.04671820827319,31.59171774372278
31.336886331120464,57.68605680724043
32.89480135299735,72.82118151656688
38.88505544604614,40.5271323788968
41.551030956571154,69.08260420629938
31.739143508608755,46.11251309219669
36.53775241562645,48.73865805185203
38.1303439864374,57.635943084410535
42.549172734554915,51.747212788605495
34.668292001487735,60.69482552513416
30.090996278421777,100.39944921661409
30.535627279240355,47.62595916413585
31.64654591380522,88.83263364438115
33.732421858204404,62.08155297641883
34.13790560835092,34.54194897733416
31.442259577906633,70.06201741187252
30.013008805764823,63.10854765597372
30.633618515686564,79.41617246415886
39.15638636573726,61.92430318985864
33.49518478714687,44.09109133811927
41.62951314716229,54.826048265027595
37.94517174406192,55.06044222168868
30.64957719985557,87.73421891676065
31.484840802782944,61.64998417929994
33.29737705038786,84.19825750078346
37.78236132557906,61.81309776138578
46.133269647751284,68.50738832732961
45.035244453756476,32.78411006701113
30.563459628450047,41.747147130022014
40.28633917145925,111.21576228458805
30.835061132314795,43.33565298513274
33.72605162652219,53.85452355968046
30.32437338772264,39.28003034905806
40.17933983938215,32.18571663069351
37.27197450511028,70.46659864506024
31.631351026169575,40.67294942240472
30.284442754735476,104.26941027164447
32.756807130503134,50.6329040431599
30.942659709880964,64.16617487731367
34.40394377816122,49.890853676215585
38.189710390032495,52.410858058653965
30.473793496228133,41.33534124270675
40.268516543316885,73.75372494814988
41.452999475836364,38.31448313621664
30.064483425318663,55.25397235760643
33.93534445947355,59.95691857197316
31.75876802939626,34.399494745046454
46.05638987008646,64.44012676739965
32.88462417239303,57.070425717943635
34.47427197520463,54.50528069086221
35.10275532156187,78.6050317276522
32.00194179857484,59.14961022476179
32.85598250718802,59.27213552035681
36.351250726669214,46.44419533049462
35.59606766134965,45.77509607889103
36.90455680528278,78.89051892819955
30.504297045850038,55.092572826288055
44.77672406156953,40.76778461598368
31.147676231488003,59.11757582987691
32.35184313388492,83.23067458370909
34.51101683456289,40.64870804091952
37.114817934672836,69.3135941742341
30.24840238962843,60.4023502728529
34.43641231405576,37.11064837741363
32.67261988347447,33.2699717084438
32.45715889060198,72.36672617410451
34.673462814726655,66.7910878875877
31.765372931943546,70.69966389105304
44.31672332404531,49.52991000813859
36.49215333655623,55.58419582462137
33.40572765063983,46.45282270873222
33.29647568724173,40.031643535280985
33.06437159422217,43.93909354477377
37.978008195176464,60.08636206558263
32.85970261180985,37.99347672638675
35.637657359718794,81.91779682872152
30.050736966610206,52.27139114549694
31.65705890626437,98.3356464584924
32.82745469168301,52.47600545213356
40.17869266834306,44.99790989157472
50.77573264380935,46.92406803842
34.32797190132238,63.8563161113924
39.70390889679205,63.08948025936737
42.52604930454396,57.61963516034257
34.749583313860086,42.01351683553298
38.12428536724297,43.196631368883324
34.93378361775374,65.84700064068775
30.060307051222576,100.55271169129347
31.069319749089047,54.34669907725979
32.267760862623874,68.98386884701912
36.51259854206828,63.40303192545583
30.030499446137565,57.49219484329916
34.90891493242848,48.82493929402163
31.337919560677648,35.05085247764432
36.72595924187855,32.746764910367865
32.80106908918868,66.38398360142081
33.82850938312738,74.39157706999201
39.62825684975782,97.5876835268206
32.80965695065854,47.53313014963868
34.67514235744011,45.38096099730323
31.22023572389925,86.64763490081808
31.399823662605073,58.47730489979183
34.302221569078256,54.100872504433426
53.11551480667388,54.61342282012316
33.34867347460383,62.28571102460456
34.241154226536246,80.31003484438524
47.716166497389125,42.28476197875808
31.52146883432922,49.51105713957679
31.136194038916685,98.72403250188003
42.543886147805885,73.83365111058188
40.49411055457572,55.08997516722142
35.6219291650185,35.13721371833452
33.486062622724845,55.628043367407265
39.36716894177053,78.63818272467685
33.136535717345254,61.280872875556625
30.22461614215384,38.624605113894305
35.48117478422856,67.51468835927135
32.25813905188624,40.88025413109058
35.47290177123756,36.05795180495588
37.815458950641016,63.920016301366594
38.85487080493723,35.90957936736162
30.316305710259527,41.70753711460905
31.264944755580164,56.58757552959959
34.391630297056814,34.04664208908332
35.19652894758101,56.872532641835456
32.915541489133936,45.28090122641059
31.724568928540993,53.51055665397255
36.530085924006485,38.7942874670719
37.416252085264425,82.42427275257327
43.48036313117918,66.54826831714394
38.69266435350703,81.21569936170428
32.70698271950598,41.54114227028206
30.597447269148635,55.502195417106904
31.874218445770232,48.86246141716608
36.11788999845545,55.58474019912225
34.14844194938124,40.612352065020474
30.846532125958408,73.41853766483366
44.44649197680728,97.89310645493124
45.1577822153248,66.9825848835697
34.157628006081296,48.953011689972975
32.09851992221833,61.89161253228214
39.35393901051483,66.89142927577075
33.66265243602439,55.31668990104794
33.68921436960872,50.69510590922185
37.89540269284848,47.68496202499114
35.444154606855534,56.74493575791431
30.410717802728513,53.848375317443654
39.289002096890236,80.19971556372997
33.00704524423792,78.59367191560824
38.682456341830765,65.49385749107164
31.1969277245534,72.84738722892843
39.69114837985797,45.855909874416085
36.22566626914394,59.03394491019205
41.81823535855926,34.96451947240173
33.78108094670949,47.8156760725372
48.90519232278161,39.844843625202465
43.876873977733425,39.889325617766914
33.92374284580381,86.3015929815439
41.36251266483279,56.34951700221502
38.057142320519425,118.38338435074962
31.455250583384,36.086174555124636
38.873156613746346,42.94863971929882
36.48599396528624,74.32205103763783
31.17008640817147,56.07711450614019
33.45909186333521,57.21957766218428
35.40951488323823,37.15552137441377
32.661964409298115,37.522291118262594
32.191550052928385,96.68355405101084
31.158165400915077,50.00832462403774
44.830292608589176,49.70963660621173
31.42149802231883,47.21518981507827
33.613933464540786,49.37682751459998
31.69536110355856,48.027803530399346
30.515947320204457,65.06810090279126
30.753937168282697,58.610221484643915
32.89546661572065,67.27931054996202
39.85313969258187,64.74047408427134
31.296031962645873,40.636455584858915
46.0797528084331,79.68762270301556
64.70333299642093,57.632947869733854
32.69595137457087,43.36814456031409
33.05704492570783,59.48486401359992
32.59411503719014,47.86528028835458
30.335764421452733,59.53361992807798
33.74038710460157,67.12252423132463
40.35199896143798,38.188838139721625
33.262288475994595,45.86792837222018
